genotype,taxon,length,width,area,length_width_ratio,specific_leaf_area,FvG
1729_12,pilosa,6.891,0.498,2.499,13.837,158.969,G
1729_06,pilosa,9.399,0.388,2.821,24.224,213.389,G
1729_22,pilosa,7.646,0.639,4.172,11.966,130.009,G
1729_17,pilosa,5.833,0.566,2.578,10.306,190.118,G
1729_01,pilosa,6.011,0.468,2.411,12.844,288.053,G
1729_02,pilosa,6.558,0.591,3.071,11.096,254.643,G
1729_11,pilosa,9.336,0.675,4.912,13.831,246.092,G
1729_16,pilosa,9.111,0.725,5.168,12.567,175.842,G
1729_04,pilosa,6.159,0.565,2.733,10.901,215.706,G
1729_15,pilosa,9.114,0.513,3.613,17.766,243.464,G
1729_20,pilosa,6.878,0.693,3.275,9.925,369.222,G
1729_05,pilosa,7.061,0.564,2.848,12.52,139.539,G
1729_19,pilosa,9.311,0.685,4.529,13.593,124.048,G
1729_10,pilosa,5.127,0.411,1.811,12.474,183.3,G
1729_64,amoena,5.001,0.897,3.982,5.575,119.544,G
1729_57,amoena,4.543,0.704,2.565,6.453,142.659,G
1729_48,amoena,3.615,0.748,2.081,4.833,177.408,G
1729_59,amoena,3.104,0.771,1.927,4.026,178.591,G
1729_65,amoena,4.283,0.821,2.787,5.217,164.716,G
1729_53,amoena,4.118,0.745,2.431,5.528,153.279,G
1729_62,amoena,5.669,0.898,4.173,6.313,140.552,G
1729_58,amoena,5.201,0.822,3.734,6.327,200.322,G
1729_63,amoena,4.259,0.941,3.226,4.526,175.996,G
1729_56,amoena,5.778,0.881,4.24,6.558,250.591,G
1729_49,amoena,5.564,0.795,3.519,6.999,198.142,G
1729_66,amoena,4.425,0.822,2.958,5.383,153.106,G
1729_54,amoena,4.693,0.667,2.776,7.036,158.992,G
1729_45,amoena,4.422,0.805,2.798,5.493,163.435,G
1729_61,amoena,4.239,0.771,2.435,5.498,232.347,G
1801_1,amoena,3.119,0.539,1.491,5.787,198.800,F
1801_2,amoena,2.752,0.530,1.224,5.192,230.943,F
1801_3,amoena,2.625,0.462,0.983,5.682,228.605,F
1801_4,amoena,2.642,0.556,1.244,4.752,218.246,F
1801_5,amoena,2.728,0.600,1.402,4.547,203.188,F
1801_6,amoena,2.396,0.465,0.950,5.153,211.111,F
1801_7,amoena,2.231,0.532,1.034,4.194,175.254,F
1801_8,amoena,3.335,0.556,1.584,5.998,200.506,F
1801_9,amoena,2.118,0.471,0.802,4.497,235.882,F
1801_10,amoena,2.774,0.583,1.318,4.758,196.716,F
1801_11,amoena,2.440,0.557,1.174,4.381,244.583,F
1801_12,amoena,2.547,0.513,1.092,4.965,214.118,F
1802_1,amoena,2.985,0.438,1.157,6.815,186.613,F
1802_2,amoena,2.998,0.532,1.362,5.635,168.148,F
1802_3,amoena,2.368,0.513,0.993,4.616,183.889,F
1802_4,amoena,2.335,0.445,0.910,5.247,206.818,F
1802_5,amoena,2.847,0.522,1.349,5.454,175.195,F
1802_6,amoena,3.087,0.667,1.782,4.628,163.486,F
1802_7,amoena,1.766,0.446,0.663,3.960,170.000,F
1802_8,amoena,2.379,0.608,1.218,3.913,174.000,F
1802_9,amoena,2.906,0.619,1.541,4.695,145.377,F
1802_10,amoena,2.333,0.419,0.807,5.568,168.125,F
1802_11,amoena,1.349,0.464,0.503,2.907,186.296,F
1802_12,amoena,3.122,0.498,1.296,6.269,196.364,F
1803_1,amoena,3.203,0.642,1.673,4.989,217.273,F
1803_2,amoena,3.530,0.488,1.486,7.234,168.864,F
1803_3,amoena,3.244,0.617,1.731,5.258,188.152,F
1803_4,amoena,2.543,0.488,1.044,5.211,176.949,F
1803_5,amoena,3.248,0.565,1.652,5.749,201.463,F
1803_6,amoena,1.883,0.439,0.701,4.289,175.250,F
1803_7,amoena,2.282,0.513,0.994,4.448,231.163,F
1803_8,amoena,2.590,0.577,1.221,4.489,182.239,F
1803_9,amoena,2.558,0.553,1.132,4.626,185.574,F
1803_10,amoena,3.306,0.515,1.460,6.419,224.615,F
1803_11,amoena,2.874,0.590,1.399,4.871,205.735,F
1811_1,pilosa,4.702,0.428,1.648,10.986,232.113,F
1811_2,pilosa,3.561,0.240,0.785,14.838,196.250,F
1811_3,pilosa,5.526,0.359,1.918,15.393,277.971,F
1811_4,pilosa,5.643,0.479,2.308,11.781,158.082,F
1811_5,pilosa,6.719,0.549,2.929,12.239,126.250,F
1811_6,pilosa,5.795,0.427,2.761,13.571,167.333,F
1811_7,pilosa,5.214,0.481,2.924,10.840,205.915,F
1811_8,pilosa,7.168,0.547,3.417,13.104,136.135,F
1811_9,pilosa,6.618,0.462,2.548,14.325,126.139,F
1811_10,pilosa,6.338,0.363,2.315,17.460,170.221,F
1811_11,pilosa,6.632,0.607,3.595,10.926,142.659,F
1811_12,pilosa,4.223,0.325,1.046,12.994,168.710,F
1812_1,pilosa,7.009,0.428,2.984,16.376,210.141,F
1812_2,pilosa,4.754,0.291,1.300,16.337,171.053,F
1812_3,pilosa,4.277,0.497,1.952,8.606,205.474,F
1812_4,pilosa,3.518,0.274,0.790,12.839,192.683,F
1812_5,pilosa,3.556,0.308,0.946,11.545,248.947,F
1812_6,pilosa,7.334,0.396,3.229,18.520,187.733,F
1812_7,pilosa,6.582,0.312,1.951,21.096,203.229,F
1812_8,pilosa,5.077,0.325,1.471,15.622,177.229,F
1812_9,pilosa,5.569,0.394,2.038,14.135,234.253,F
1812_10,pilosa,5.385,0.274,1.303,19.653,148.068,F
1812_11,pilosa,4.731,0.369,1.660,12.821,218.421,F
1812_12,pilosa,4.240,0.430,1.586,9.860,229.855,F
1812_13,pilosa,6.690,0.274,1.790,24.416,190.426,F
1813_1,pilosa,5.413,0.278,1.180,19.471,240.816,F
1813_2,pilosa,4.453,0.308,1.413,14.458,207.794,F
1813_3,pilosa,6.000,0.376,1.862,15.957,132.057,F
1813_4,pilosa,8.483,0.361,3.217,23.499,181.751,F
1813_5,pilosa,4.634,0.369,1.472,12.558,219.701,F
1813_6,pilosa,6.274,0.394,1.999,15.924,122.638,F
1813_7,pilosa,4.023,0.240,0.867,16.763,133.385,F
1813_8,pilosa,4.410,0.342,1.579,12.895,197.375,F
1813_9,pilosa,3.647,0.327,0.949,11.153,153.065,F
1813_10,pilosa,4.804,0.411,1.951,11.689,243.875,F
1813_11,pilosa,5.152,0.462,1.992,11.152,288.696,F
1813_12,pilosa,7.215,0.342,2.278,21.096,118.031,F